,ntaps,dtaps,xi,Model,Q
0,1,181,0.15,FDBP,7.239062009764519
1,1,181,0.15,EDBP,7.244903463989047
2,1,181,0.15,GDBP,8.223946218767816
3,1,193,0.15,FDBP,7.6109997871573745
4,1,193,0.15,EDBP,7.618716351914223
5,1,193,0.15,GDBP,8.28048886021049
6,1,205,0.15,FDBP,7.841992040769705
7,1,205,0.15,EDBP,7.8519944760992155
8,1,205,0.15,GDBP,8.345231711908657
9,1,217,0.15,FDBP,8.072326262126388
10,1,217,0.15,EDBP,8.08122376085353
11,1,217,0.15,GDBP,8.378775189749847
12,1,229,0.15,FDBP,8.149429666905199
13,1,229,0.15,EDBP,8.155541012145559
14,1,229,0.15,GDBP,8.401665433787455
15,1,241,0.15,FDBP,8.251611002260981
16,1,241,0.15,EDBP,8.265258492430611
17,1,241,0.15,GDBP,8.411170788256003
18,1,253,0.15,FDBP,8.326417729586527
19,1,253,0.15,EDBP,8.334212776146355
20,1,253,0.15,GDBP,8.417489598599307
21,7,181,0.38,FDBP,7.303369088044179
22,7,181,0.38,EDBP,7.366154502805216
23,7,181,0.38,GDBP,8.383939259450722
24,7,193,0.38,FDBP,7.6664890187069865
25,7,193,0.38,EDBP,7.741125185799163
26,7,193,0.38,GDBP,8.430178752473203
27,7,205,0.38,FDBP,7.9001814042654495
28,7,205,0.38,EDBP,7.980137633536831
29,7,205,0.38,GDBP,8.510882204776797
30,7,217,0.38,FDBP,8.141374097111303
31,7,217,0.38,EDBP,8.220292089522923
32,7,217,0.38,GDBP,8.548542828059988
33,7,229,0.38,FDBP,8.216789462045494
34,7,229,0.38,EDBP,8.295948642511949
35,7,229,0.38,GDBP,8.567200248765609
36,7,241,0.38,FDBP,8.325047242092216
37,7,241,0.38,EDBP,8.412567848083235
38,7,241,0.38,GDBP,8.578319044336641
39,7,253,0.38,FDBP,8.394354400596217
40,7,253,0.38,EDBP,8.481374985519189
41,7,253,0.38,GDBP,8.588349820057966
42,13,181,0.56,FDBP,7.3681674838148234
43,13,181,0.56,EDBP,7.430253364596222
44,13,181,0.56,GDBP,8.43734965799971
45,13,193,0.56,FDBP,7.745409192835984
46,13,193,0.56,EDBP,7.812427051262634
47,13,193,0.56,GDBP,8.500003549596828
48,13,205,0.56,FDBP,7.988810977354715
49,13,205,0.56,EDBP,8.065091183048226
50,13,205,0.56,GDBP,8.575962205844668
51,13,217,0.56,FDBP,8.227525190691878
52,13,217,0.56,EDBP,8.305033339191764
53,13,217,0.56,GDBP,8.608511599164164
54,13,229,0.56,FDBP,8.303996006880737
55,13,229,0.56,EDBP,8.387479450649844
56,13,229,0.56,GDBP,8.63465540740659
57,13,241,0.56,FDBP,8.421332663672946
58,13,241,0.56,EDBP,8.500384695816791
59,13,241,0.56,GDBP,8.646762450810774
60,13,253,0.56,FDBP,8.489885996741414
61,13,253,0.56,EDBP,8.572338116850037
62,13,253,0.56,GDBP,8.655266602200511
63,19,181,0.74,FDBP,7.399272976147922
64,19,181,0.74,EDBP,7.456858216270849
65,19,181,0.74,GDBP,8.479190004693024
66,19,193,0.74,FDBP,7.762100670755178
67,19,193,0.74,EDBP,7.828340946353672
68,19,193,0.74,GDBP,8.529458362353587
69,19,205,0.74,FDBP,8.008859377875325
70,19,205,0.74,EDBP,8.076285509871068
71,19,205,0.74,GDBP,8.611589038430212
72,19,217,0.74,FDBP,8.250685727609003
73,19,217,0.74,EDBP,8.320511763665767
74,19,217,0.74,GDBP,8.655540915618408
