fs,D0,N0,D1,N1,D2,N2,R
-30.005859375,(-0.3902917504310608-0.9093193411827087j),(-0.004287777002900839+0.0009101435425691307j),(-0.3896500766277313-0.9099202752113342j),(-0.00475529208779335+0.00047580382670275867j),(-0.3897968530654907-0.9095019698143005j),(-0.002938870806246996+0.0011835163459181786j),(0.9856134057044983-0.0003166432725265622j)
-29.997070312500004,(-0.3146258294582367-0.9364088773727417j),(-0.004205286502838135+0.0009155820589512587j),(-0.3139779567718506-0.9369781613349915j),(-0.004674129653722048+0.00047469185665249825j),(-0.31414365768432617-0.9365412592887878j),(-0.0028832315001636744+0.001199325080960989j),(0.9856360554695129-0.00030530986259691417j)
-29.98828125,(-0.23683097958564758-0.9572600722312927j),(-0.0041220588609576225+0.0009208123083226383j),(-0.23618105053901672-0.9578023552894592j),(-0.004592273849993944+0.00047339501907117665j),(-0.2363712191581726-0.9573541879653931j),(-0.0028270618058741093+0.0012148733949288726j),(0.9856590032577515-0.0002940818085335195j)
-29.979492187500004,(-0.15742889046669006-0.9717392921447754j),(-0.004038121551275253+0.0009258321952074766j),(-0.15678168833255768-0.9722595810890198j),(-0.0045097447000443935+0.0004719174175988883j),(-0.15700113773345947-0.9718073010444641j),(-0.002770376158878207+0.0012301572132855654j),(0.9856824278831482-0.0002828814322128892j)
-29.97070312500001,(-0.07695218920707703-0.9797552824020386j),(-0.003953493200242519+0.0009306444553658366j),(-0.07631174474954605-0.9802584052085876j),(-0.0044265626929700375+0.0004702542209997773j),(-0.07656580954790115-0.9798094034194946j),(-0.002713186200708151+0.0012451749062165618j),(0.9857060313224792-0.00027179508469998837j)
-29.9619140625,(0.004059823229908943-0.9812591671943665j),(-0.003868201980367303+0.0009352429769933224j),(0.004689151421189308-0.9817506670951843j),(-0.004342749249190092+0.0004684061277657747j),(0.004395751748234034-0.9813126921653748j),(-0.0026555077638477087+0.0012599241454154253j),(0.9857302308082581-0.00026078082737512887j)
-29.953124999999993,(0.08506418764591217-0.9762462377548218j),(-0.003782272106036544+0.0009396255481988192j),(0.08567830175161362-0.9767307639122009j),(-0.004258329980075359+0.00046637363266199827j),(0.08534104377031326-0.976311981678009j),(-0.0025973559822887182+0.0012744026025757194j),(0.9857545495033264-0.00024988854420371354j)
-29.944335937499996,(0.1655188500881195-0.9647530913352966j),(-0.0036957324482500553+0.0009437953121960163j),(0.16611360013484955-0.9652361273765564j),(-0.00417332025244832+0.0004641592677216977j),(0.16572827100753784-0.9648441076278687j),(-0.002538742031902075+0.0012886096956208348j),(0.9857794642448425-0.0002391314774286002j)
-29.935546875000004,(0.24488505721092224-0.9468605518341064j),(-0.003608602099120617+0.0009477444109506905j),(0.24545596539974213-0.9473469853401184j),(-0.004087748937308788+0.00046175523311831057j),(0.2450188249349594-0.9469898343086243j),(-0.0024796805810183287+0.0013025406515225768j),(0.985804557800293-0.00022843452461529523j)
-29.9267578125,(0.3226315975189209-0.9226908683776855j),(-0.00352091365493834+0.0009514742996543646j),(0.32317525148391724-0.923185408115387j),(-0.004001630004495382+0.0004591671167872846j),(0.3226829767227173-0.9228707551956177j),(-0.002420188393443823+0.0013161932583898306j),(0.9858298897743225-0.00021804438438266516j)
-29.917968750000014,(0.3982382118701935-0.8924077749252319j),(-0.003432686673477292+0.0009549864917062223j),(0.3987509608268738-0.8929145932197571j),(-0.003914993721991777+0.0004563928523566574j),(0.3982008695602417-0.8926501274108887j),(-0.002360275015234947+0.0013295667013153434j),(0.9858556985855103-0.00020764309738297015j)
-29.909179687500007,(0.4711998701095581-0.8562148213386536j),(-0.003343950491398573+0.0009582719067111611j),(0.4716781675815582-0.8567384481430054j),(-0.0038278561551123857+0.0004534329054877162j),(0.47106823325157166-0.8565310835838318j),(-0.0022999602369964123+0.0013426590012386441j),(0.9858817458152771-0.000197541929082945j)
-29.900390624999996,(0.5410283207893372-0.8143545389175415j),(-0.003254727926105261+0.0009613361326046288j),(0.5414695143699646-0.814898669719696j),(-0.0037402405869215727+0.00045028451131656766j),(0.5407977104187012-0.8147552609443665j),(-0.00223925500176847+0.0013554689940065145j),(0.985908031463623-0.00018759870727080852j)
-29.891601562499993,(0.6072575449943542-0.7671064138412476j),(-0.0031650487799197435+0.0009641739306971431j),(0.6076583862304688-0.7676742076873779j),(-0.003652174724265933+0.0004469501436688006j),(0.6069238781929016-0.7676012516021729j),(-0.002178177470341325+0.0013679915573447943j),(0.9859346747398376-0.0001776863937266171j)
-29.882812500000007,(0.6694448590278625-0.7147852182388306j),(-0.0030749356374144554+0.0009667866979725659j),(0.6698028445243835-0.715379536151886j),(-0.003563676029443741+0.0004434318107087165j),(0.6690053343772888-0.7153826355934143j),(-0.002116736024618149+0.0013802278554067016j),(0.9859614968299866-0.00016815947310533375j)
-29.874023437500004,(0.7271749377250671-0.6577387452125549j),(-0.0029844180680811405+0.0009691711165942252j),(0.7274882197380066-0.6583619117736816j),(-0.003474768716841936+0.00043972115963697433j),(0.7266278862953186-0.6584462523460388j),(-0.0020549504552036524+0.001392174744978547j),(0.9859885573387146-0.00015872351650614291j)
-29.865234374999996,(0.780062735080719-0.5963455438613892j),(-0.002893520751968026+0.0009713255567476153j),(0.7803292870521545-0.5969991087913513j),(-0.003385474206879735+0.0004358262522146106j),(0.7794070243835449-0.5971694588661194j),(-0.001992835197597742+0.0014038316439837217j),(0.986015796661377-0.00014951337652746588j)
-29.8564453125,(0.8277552127838135-0.5310124158859253j),(-0.0028022693004459143+0.0009732506005093455j),(0.8279736638069153-0.5316973328590393j),(-0.0032958185765892267+0.0004317430721130222j),(0.8269909620285034-0.5319576263427734j),(-0.0019304027082398534+0.0014151959912851453j),(0.986043393611908-0.0001405444781994447j)
-29.847656250000004,(0.8699341416358948-0.4621717035770416j),(-0.002710689790546894+0.0009749419987201691j),(0.8701034188270569-0.4628884196281433j),(-0.0032058192882686853+0.00042747624684125185j),(0.8690626621246338-0.4632413685321808j),(-0.001867672079242766+0.0014262654585763812j),(0.9860711693763733-0.00013188167940825224j)
-29.8388671875,(0.9063183069229126-0.3902783989906311j),(-0.00261881435289979+0.000976404407992959j),(0.9064375162124634-0.3910265564918518j),(-0.003115507075563073+0.0004230160266160965j),(0.9053415656089783-0.3914746642112732j),(-0.001804653089493513+0.001437039696611464j),(0.9860990643501282-0.0001234713854501024j)
-29.830078125000004,(0.9366650581359863-0.31580716371536255j),(-0.0025266630109399557+0.0009776281658560038j),(0.9367339611053467-0.31658557057380676j),(-0.0030248998664319515+0.0004183728015050292j),(0.9355862140655518-0.31713032722473145j),(-0.001741362502798438+0.0014475180068984628j),(0.9861271381378174-0.00011521232227096334j)
-29.82128906250001,(0.9607722759246826-0.23924914002418518j),(-0.002434265334159136+0.0009786192094907165j),(0.9607908129692078-0.2400563359260559j),(-0.0029340204782783985+0.00041354147833772004j),(0.9595955610275269-0.24069811403751373j),(-0.0016778178978711367+0.0014576968969777226j),(0.98615562915802-0.0001071648221113719j)
-29.8125,(0.9784789085388184-0.16110913455486298j),(-0.00234164553694427+0.0009793753270059824j),(0.9784476161003113-0.16194236278533936j),(-0.0028428942896425724+0.0004085238906554878j),(0.9772095680236816-0.16268134117126465j),(-0.001614031963981688+0.0014675755519419909j),(0.9861839413642883-9.95619993773289e-05j)
-29.803710937500007,(0.9896672368049622-0.08190130442380905j),(-0.002248835749924183+0.0009798947721719742j),(0.9895871877670288-0.08275778591632843j),(-0.0027515438850969076+0.0004033186996821314j),(0.988311231136322-0.0835925042629242j),(-0.0015500200679525733+0.0014771543210372329j),(0.9862126708030701-9.217731712851673e-05j)
-29.794921874999996,(0.9942627549171448-0.0021470203064382076j),(-0.002155858092010021+0.0009801742853596807j),(0.9941345453262329-0.003022971795871854j),(-0.002659991616383195+0.0003979281464125961j),(0.9928268194198608-0.003951504360884428j),(-0.0014857976930215955+0.0014864311087876558j),(0.986241340637207-8.50439682835713e-05j)
-29.786132812500004,(0.9922347068786621+0.07762923091650009j),(-0.0020627423655241728+0.0009802188724279404j),(0.9920600056648254+0.07673835009336472j),(-0.0025682607665657997+0.00039235202712006867j),(0.9907264113426208+0.07571893185377121j),(-0.0014213800895959139+0.0014954042853787541j),(0.9862703084945679-7.82247880124487e-05j)
-29.77734375,(0.9835962653160095+0.15690317749977112j),(-0.001969514647498727+0.000980023993179202j),(0.9833769202232361+0.1560024619102478j),(-0.002476376947015524+0.00038658975972793996j),(0.9820239543914795+0.1548958718776703j),(-0.0013567833229899406+0.0015040725702419877j),(0.9862991571426392-7.175112114055082e-05j)
-29.7685546875,(0.9684049487113953+0.2351546585559845j),(-0.0018762027611956+0.0009795885998755693j),(0.9681428670883179+0.2342495620250702j),(-0.002384362742304802+0.00038064352702349424j),(0.9667772650718689+0.23306041955947876j),(-0.0012920214794576168+0.0015124364290386438j),(0.9863283634185791-6.542538176290691e-05j)
-29.759765625000004,(0.9467614889144897+0.31186988949775696j),(-0.0017828323179855943+0.0009789102477952838j),(0.946459174156189+0.3109665513038635j),(-0.00229223957285285+0.00037451082607731223j),(0.9450878500938416+0.30970001220703125j),(-0.0012271096929907799+0.0015204929513856769j),(0.9863575100898743-5.9688769397325814e-05j)
-29.750976562499996,(0.918809711933136+0.38654574751853943j),(-0.0016894316067919135+0.0009779916144907475j),(0.9184691905975342+0.3856506943702698j),(-0.002200036309659481+0.0003681931411847472j),(0.9170998334884644+0.3843129277229309j),(-0.0011620656587183475+0.0015282434178516269j),(0.986386775970459-5.415674968389794e-05j)
-29.742187499999993,(0.8847345113754272+0.4586925804615021j),(-0.0015960251912474632+0.0009768330492079258j),(0.8843591213226318+0.45781269669532776j),(-0.002107769949361682+0.0003616934991441667j),(0.8829987645149231+0.45641064643859863j),(-0.0010969010181725025+0.0015356856165453792j),(0.9864160418510437-4.8887439334066585e-05j)
-29.733398437500007,(0.8447628617286682+0.5278378129005432j),(-0.0015026460168883204+0.0009754315833561122j),(0.844355046749115+0.5269805192947388j),(-0.0020154654048383236+0.0003550104156602174j),(0.8430113792419434+0.525521457195282j),(-0.0010316349798813462+0.0015428186161443591j),(0.9864456653594971-4.4018834159942344e-05j)
-29.724609375000004,(0.7991592288017273+0.593528687953949j),(-0.001409312360920012+0.0009737863438203931j),(0.7987224459648132+0.5927013158798218j),(-0.0019231494516134262+0.000348143104929477j),(0.7974026799201965+0.5911931395530701j),(-0.0009662794764153659+0.0015496436972171068j),(0.9864750504493713-3.9545535400975496e-05j)
-29.715820312499996,(0.7482262849807739+0.6553348898887634j),(-0.001316060428507626+0.0009718992514535785j),(0.747763454914093+0.6545454859733582j),(-0.0018308431608602405+0.000341096572810784j),(0.7464752197265625+0.6529967784881592j),(-0.0009008510387502611+0.001556157716549933j),(0.9865046143531799-3.529185778461397e-05j)
-29.707031249999986,(0.6923017501831055+0.7128521800041199j),(-0.0012229091953486204+0.0009697689674794674j),(0.6918162107467651+0.7121084332466125j),(-0.0017385719111189246+0.0003338661917950958j),(0.6905664801597595+0.7105280160903931j),(-0.0008353671291843057+0.0015623618382960558j),(0.986534059047699-3.151172859361395e-05j)
-29.6982421875,(0.6317563652992249+0.7657044529914856j),(-0.0011298912577331066+0.0009673932217992842j),(0.6312512159347534+0.765014111995697j),(-0.00164635363034904+0.0003264545230194926j),(0.6300469636917114+0.7634115219116211j),(-0.0007698396220803261+0.0015682547818869352j),(0.9865638017654419-2.7992673494736664e-05j)
-29.689453124999996,(0.5669910907745361+0.8135459423065186j),(-0.0010370323434472084+0.0009647761471569538j),(0.5664697289466858+0.8129169940948486j),(-0.001554220332764089+0.0003188659029547125j),(0.5653174519538879+0.8113013505935669j),(-0.0007042876095511019+0.001573836081661284j),(0.9865933060646057-2.498104549886193e-05j)
-29.680664062500004,(0.49843499064445496+0.8560640215873718j),(-0.0009443595190532506+0.000961913843639195j),(0.49790069460868835+0.8555042743682861j),(-0.0014621888985857368+0.000311097945086658j),(0.4968065321445465+0.853885293006897j),(-0.0006387233734130859+0.0015791073674336076j),(0.9866229891777039-2.2180573068908416e-05j)
-29.671875000000007,(0.4265419840812683+0.8929808139801025j),(-0.0008518975228071213+0.0009588063694536686j),(0.42599791288375854+0.892497718334198j),(-0.0013702861033380032+0.00030314948526211083j),(0.424967885017395+0.8908851742744446j),(-0.0005731630953960121+0.001584065961651504j),(0.9866524338722229-1.989566044358071e-05j)
-29.6630859375,(0.3517880141735077+0.924055278301239j),(-0.0007596772047691047+0.0009554538410156965j),(0.35123705863952637+0.9236559271812439j),(-0.001278534415178001+0.00029502491815946996j),(0.35027652978897095+0.9220595359802246j),(-0.0005076234228909016+0.0015887118643149734j),(0.986682116985321-1.800192694645375e-05j)
-29.654296874999993,(0.2746676802635193+0.9490844011306763j),(-0.0006677217897959054+0.0009518599836155772j),(0.27411288022994995+0.948775589466095j),(-0.0011869572335854173+0.00028672412736341357j),(0.27322661876678467+0.9472048282623291j),(-0.0004421192570589483+0.0015930464724078774j),(0.9867116212844849-1.6369567674701102e-05j)
-29.645507812499996,(0.19569100439548492+0.9679044485092163j),(-0.0005760591011494398+0.0009480185690335929j),(0.195135235786438+0.9676925539970398j),(-0.0010955731850117445+0.00027824885910376906j),(0.19432739913463593+0.966157078742981j),(-0.0003766630543395877+0.0015970685053616762j),(0.9867411851882935-1.5049272406031378e-05j)
-29.636718750000004,(0.11538032442331314+0.980392575263977j),(-0.0004847171367146075+0.0009439349523745477j),(0.1148260235786438+0.9802834391593933j),(-0.001004415680654347+0.0002695975126698613j),(0.1140999123454094+0.9787922501564026j),(-0.0003112749836873263+0.0016007790109142661j),(0.9867705702781677-1.4330103113024961e-05j)
-29.6279296875,(0.03426634147763252+0.9864673614501953j),(-0.0003937209548894316+0.0009396082605235279j),(0.033716022968292236+0.9864663481712341j),(-0.000913499912712723+0.00026077174698002636j),(0.03307492658495903+0.9850279688835144j),(-0.0002459668612573296+0.0016041758935898542j),(0.986799955368042-1.393217644363176e-05j)
-29.619140625,(-0.04711448401212692+0.9860885143280029j),(-0.0003030977677553892+0.0009350335458293557j),(-0.04765883460640907+0.9862001538276672j),(-0.0008228523074649274+0.00025177691713906825j),(-0.04821345955133438+0.9848231673240662j),(-0.0001807544322218746+0.0016072603175416589j),(0.9868292212486267-1.3969751307740808e-05j)
-29.610351562499996,(-0.12822549045085907+0.9792584776878357j),(-0.00021287257550284266+0.0009302175603806973j),(-0.12876200675964355+0.9794866442680359j),(-0.0007324951002374291+0.00024260921054519713j),(-0.12922808527946472+0.9781787991523743j),(-0.00011565168824745342+0.0016100357752293348j),(0.986858606338501-1.4376764738699421e-05j)
-29.601562499999996,(-0.20853056013584137+0.9660216569900513j),(-0.0001230774214491248+0.0009251579758711159j),(-0.2090575098991394+0.9663692116737366j),(-0.0006424475577659905+0.00023327188682742417j),(-0.20943482220172882+0.9651373028755188j),(-5.0676990213105455e-05+0.0016125000547617674j),(0.9868878722190857-1.5213642654998694e-05j)
-29.592773437499993,(-0.28749990463256836+0.9464635252952576j),(-3.372958235559054e-05+0.0009198563639074564j),(-0.28801605105400085+0.9469327330589294j),(-0.0005527417524717748+0.00022376644483301789j),(-0.28830450773239136+0.9457835555076599j),(1.4155618373479228e-05+0.0016146507114171982j),(0.9869169592857361-1.645365591684822e-05j)
-29.583984375000007,(-0.3646123707294464+0.920711100101471j),(5.513614814844914e-05+0.0009143099305219948j),(-0.3651168644428253+0.9213035106658936j),(-0.0004633894714061171+0.00021409218607004732j),(-0.3653174340724945+0.9202426671981812j),(7.88334000390023e-05+0.0016164911212399602j),(0.9869460463523865-1.8094144252245314e-05j)
-29.575195312500004,(-0.439359575510025+0.888931930065155j),(0.0001435003796359524+0.000908520130906254j),(-0.43985170125961304+0.8896477818489075j),(-0.0003744227869901806+0.00020425212278496474j),(-0.43996602296829224+0.888680100440979j),(0.00014333856233861297+0.0016180220991373062j),(0.9869750142097473-2.0131094061071053e-05j)
-29.566406249999996,(-0.5112491250038147+0.8513319492340088j),(0.00023133390641305596+0.0009024931932799518j),(-0.5117282867431641+0.8521707653999329j),(-0.00028586131520569324+0.0001942484814208001j),(-0.5117586851119995+0.8513004779815674j),(0.0002076588134514168+0.0016192429466173053j),(0.9870039224624634-2.26276879402576e-05j)
-29.5576171875,(-0.5798068046569824+0.808155357837677j),(0.000318608625093475+0.0008962232386693358j),(-0.5802729725837708+0.8091158866882324j),(-0.00019772283849306405+0.00018407998140901327j),(-0.5802228450775146+0.8083463311195374j),(0.0002717767492868006+0.0016201555263251066j),(0.9870326519012451-2.5465249564149417e-05j)
-29.548828125,(-0.6445813179016113+0.7596828937530518j),(0.0004053051525261253+0.000889711722265929j),(-0.6450349688529968+0.7607625722885132j),(-0.00011003446707036346+0.00017375024617649615j),(-0.6449078917503357+0.7600956559181213j),(0.00033568067010492086+0.0016207589069381356j),(0.9870612621307373-2.8838985599577427e-05j)
-29.540039062499996,(-0.7051464915275574+0.7062289118766785j),(0.0004913928569294512+0.0008829609723761678j),(-0.7055880427360535+0.7074244618415833j),(-2.2820549929747358e-05+0.0001632587518543005j),(-0.705388605594635+0.7068616151809692j),(0.00039935202221386135+0.0016210547182708979j),(0.9870896935462952-3.248699431424029e-05j)
-29.531249999999993,(-0.761103630065918+0.6481404900550842j),(0.0005768482224084437+0.000875969126354903j),(-0.761533796787262+0.6494476199150085j),(6.390304042724892e-05+0.00015261016960721463j),(-0.761267364025116+0.6489892601966858j),(0.00046277843648567796+0.001621043891645968j),(0.9871180653572083-3.658042260212824e-05j)
-29.522460937500007,(-0.812084972858429+0.5857946276664734j),(0.0006616456666961312+0.0008687412482686341j),(-0.8125048279762268+0.5872082710266113j),(0.00015010788047220558+0.00014180292782839388j),(-0.8121771216392517+0.5868536829948425j),(0.0005259454483166337+0.0016207266598939896j),(0.9871463775634766-4.114291368750855e-05j)
-29.513671875,(-0.8577550053596497+0.5195959210395813j),(0.0007457613246515393+0.0008612739620730281j),(-0.8581661581993103+0.5211098790168762j),(0.000235776009503752+0.0001308399369008839j),(-0.8577832579612732+0.5208574533462524j),(0.000588837661780417+0.0016201051184907556j),(0.9871742129325867-4.611104668583721e-05j)
-29.504882812499993,(-0.8978140950202942+0.4499739408493042j),(0.0008291672565974295+0.0008535725064575672j),(-0.898218035697937+0.45158109068870544j),(0.0003208827110938728+0.00011972095671808347j),(-0.8977868556976318+0.45142847299575806j),(0.0006514410488307476+0.0016191788017749786j),(0.9872022867202759-5.1474289648467675e-05j)
