fs,D0,N0,D1,N1,D2,N2,R
-30.005859375,(-0.18187302350997925-0.8548688292503357j),(0.012963345274329185-0.0002347036643186584j),(-0.18082839250564575-0.8521311283111572j),(0.009676773101091385+0.0009521786705590785j),(-0.17994455993175507-0.8506161570549011j),(0.004625717643648386+0.0005063285352662206j),(0.9975031018257141+0.0017614976968616247j)
-29.997070312500004,(-0.1561405062675476-0.8970415592193604j),(0.01297791488468647-0.00023197698465082794j),(-0.15516816079616547-0.8942557573318481j),(0.009687507525086403+0.0009537023142911494j),(-0.15430764853954315-0.8927571773529053j),(0.004630404990166426+0.0005060803378000855j),(0.9974204897880554+0.0017211881931871176j)
-29.98828125,(-0.12906618416309357-0.9333226084709167j),(0.012992311269044876-0.00022924516815692186j),(-0.1281653493642807-0.9304994940757751j),(0.009698102250695229+0.0009552245028316975j),(-0.12733133137226105-0.9290198683738708j),(0.0046350425109267235+0.0005058312090113759j),(0.9973361492156982+0.0016812472604215145j)
-29.979492187500004,(-0.10080592334270477-0.9634667038917542j),(0.013006536290049553-0.00022650457685813308j),(-0.0999760851264-0.9606168270111084j),(0.009708552621304989+0.0009567460510879755j),(-0.09917128086090088-0.9591593146324158j),(0.004639630205929279+0.000505580275785178j),(0.9972496628761292+0.0016415055142715573j)
-29.97070312500001,(-0.0715261772274971-0.9872689843177795j),(0.013020588085055351-0.0002237577282357961j),(-0.07076619565486908-0.9844035506248474j),(0.009718863293528557+0.0009582667262293398j),(-0.0699932724237442-0.9829708337783813j),(0.004644168075174093+0.0005053298082202673j),(0.9971613883972168+0.001602186355739832j)
-29.9619140625,(-0.041401781141757965-1.0045667886734009j),(0.013034469448029995-0.00022100433125160635j),(-0.04071064293384552-1.0016967058181763j),(0.009729033336043358+0.0009597898460924625j),(-0.039972513914108276-1.0002920627593994j),(0.004648655187338591+0.0005050784675404429j),(0.9970714449882507+0.0015631093410775065j)
-29.953124999999993,(-0.010615678504109383-1.0152400732040405j),(0.013048175722360611-0.00021824263967573643j),(-0.009991852566599846-1.0123765468597412j),(0.009739058092236519+0.0009613102301955223j),(-0.00929129309952259-1.0110023021697998j),(0.004653092473745346+0.0005048259627074003j),(0.9969795942306519+0.0015244318637996912j)
-29.944335937499996,(0.020642787218093872-1.0192121267318726j),(0.013061709702014923-0.0002154761750716716j),(0.02120083011686802-1.0163664817810059j),(0.009748942218720913+0.0009628296829760075j),(0.021861372515559196-1.0150254964828491j),(0.004657479468733072+0.0005045722355134785j),(0.9968861937522888+0.0014859935035929084j)
-29.935546875000004,(0.05217823386192322-1.0164507627487183j),(0.013075067661702633-0.00021270201250445098j),(0.05267234146595001-1.0136340856552124j),(0.00975868757814169+0.0009643511730246246j),(0.05329020321369171-1.0123292207717896j),(0.004661815706640482+0.0005043189157731831j),(0.9967910647392273+0.0014479468809440732j)
-29.9267578125,(0.08379145711660385-1.006968379020691j),(0.013088253326714039-0.00020992200006730855j),(0.08422354608774185-1.004191517829895j),(0.009768286719918251+0.0009658706840127707j),(0.08479642868041992-1.0029252767562866j),(0.004666102584451437+0.0005040632095187902j),(0.9966945648193359+0.0014103439170867205j)
-29.917968750000014,(0.11527983844280243-0.9908217191696167j),(0.013101262971758842-0.00020713239791803062j),(0.11565221846103668-0.9880955219268799j),(0.009777743369340897+0.0009673906024545431j),(0.11617780476808548-0.9868704080581665j),(0.004670338239520788+0.0005038072704337537j),(0.9965961575508118+0.0013730032369494438j)
-29.909179687500007,(0.146439328789711-0.9681113362312317j),(0.013114099390804768-0.00020433923054952174j),(0.14675372838974-0.9654461145401001j),(0.009787056595087051+0.0009689092403277755j),(0.1472303867340088-0.9642643928527832j),(0.00467452360317111+0.0005035520298406482j),(0.9964962601661682+0.0013361311284825206j)
-29.900390624999996,(0.17706520855426788-0.9389808773994446j),(0.013126763515174389-0.00020153759396634996j),(0.1773243099451065-0.9363870024681091j),(0.00979622732847929+0.0009704293916001916j),(0.17775006592273712-0.9352509379386902j),(0.004678657744079828+0.0005032946937717497j),(0.9963949918746948+0.0012996275909245014j)
-29.891601562499993,(0.2069537192583084-0.9036173820495605j),(0.013139248825609684-0.00019872916163876653j),(0.20716001093387604-0.9011044502258301j),(0.009805254638195038+0.000971948669757694j),(0.2075333446264267-0.9000159502029419j),(0.00468274112790823+0.0005030357860960066j),(0.9962921738624573+0.0012635556049644947j)
