dbp_xi,dbp_ntaps,dbp_dtaps,SNR
1.1,37,261,15.744316595474563
1.0,31,261,15.731308858583546
0.85,25,261,15.70755312805561
0.74,19,261,15.675191113686434
1.1,37,245,15.645569550404508
0.56,13,261,15.629729389277445
1.0,31,245,15.627987403135426
0.85,25,245,15.604862759767098
0.74,19,245,15.576094309315511
0.38,7,261,15.542383070962355
0.56,13,245,15.524437340928248
0.38,7,245,15.44185046974982
1.0,31,229,15.439144154706492
1.1,37,229,15.438194147423797
0.85,25,229,15.419794691546645
0.74,19,229,15.389716346833692
0.56,13,229,15.321036754532496
0.15000000000000002,1,261,15.31888041809901
1.1,37,213,15.28567053883696
1.0,31,213,15.273948168791506
0.38,7,229,15.257335644355773
0.85,25,213,15.256517083580924
0.15000000000000002,1,245,15.22595199712809
0.74,19,213,15.22561699862758
0.56,13,213,15.181816743305408
0.38,7,213,15.102233587819399
0.15000000000000002,1,229,15.035705383643435
0.15000000000000002,1,213,14.897059645355306
1.1,37,197,14.834576132915522
1.0,31,197,14.819271951319248
0.85,25,197,14.802656702789124
0.74,19,197,14.773308271455068
0.56,13,197,14.734064377414631
0.38,7,197,14.658355879907866
0.15000000000000002,1,197,14.472067607453951
1.1,37,181,14.000054327661761
1.0,31,181,13.988452754586033
0.85,25,181,13.975997817481009
0.74,19,181,13.948964998259124
0.56,13,181,13.91941795366674
0.38,7,181,13.85295710333861
0.15000000000000002,1,181,13.686360465133259
