dbp_xi,dbp_ntaps,dbp_dtaps,SNR
1.1,37,261,15.885036165746447
1.1,37,245,15.88267295377015
1.0,31,261,15.869773146843578
1.0,31,245,15.863253308965337
1.1,37,229,15.857631745146819
0.85,25,261,15.840735838587747
0.85,25,245,15.83404096512896
1.0,31,229,15.832391865495072
1.1,37,213,15.820170160416748
0.85,25,229,15.810974460622933
0.74,19,261,15.805546296036894
0.74,19,245,15.800321689203805
1.0,31,213,15.792794429722797
0.74,19,229,15.778029406573541
0.85,25,213,15.777143529139463
0.56,13,261,15.759514175030978
0.56,13,245,15.743085141135087
0.74,19,213,15.739184284490227
1.1,37,197,15.736107774860212
0.56,13,229,15.724111532468605
1.0,31,197,15.695830713802092
0.85,25,197,15.69281064466735
0.56,13,213,15.68093556629863
0.74,19,197,15.664333594031412
0.38,7,261,15.662813279872363
0.38,7,245,15.659112969581908
0.38,7,229,15.630998729934703
0.56,13,197,15.61022905409356
0.38,7,213,15.599548357783991
1.1,37,181,15.548456081639927
1.0,31,181,15.531219910024383
0.38,7,197,15.512636986143429
0.85,25,181,15.506361334338123
0.74,19,181,15.478243919199087
0.15000000000000002,1,261,15.439918213219405
0.15000000000000002,1,245,15.433772134156296
0.56,13,181,15.409180054283393
0.15000000000000002,1,229,15.40573128629907
0.15000000000000002,1,213,15.376917947703594
0.38,7,181,15.31815589410847
0.15000000000000002,1,197,15.302105363590254
0.15000000000000002,1,181,15.108496301619244
