dbp_xi,dbp_ntaps,dbp_dtaps,SNR
1.1,37,261,15.647567020683617
1.0,31,261,15.627031054397264
0.85,25,261,15.606670955868939
0.74,19,261,15.564367845742943
1.1,37,245,15.551357043916882
1.0,31,245,15.531640998874348
0.56,13,261,15.51040543017961
0.85,25,245,15.508879694604609
0.74,19,245,15.468909989580826
0.56,13,245,15.414465320638943
0.38,7,261,15.414140127216731
1.1,37,229,15.365817079068421
1.0,31,229,15.3478148629198
0.85,25,229,15.32360617094631
0.38,7,245,15.32000155252964
0.15000000000000002,1,261,15.302556600283921
0.74,19,229,15.285779361539314
0.56,13,229,15.216006776928628
0.15000000000000002,1,245,15.21139074673026
1.1,37,213,15.198657422844148
1.0,31,213,15.179739198843457
0.85,25,213,15.152906697044786
0.38,7,229,15.148567410209012
0.74,19,213,15.12233902749528
0.56,13,213,15.069218957381892
0.15000000000000002,1,229,15.043572011035051
0.38,7,213,14.973945785936662
0.15000000000000002,1,213,14.867698577207811
1.1,37,197,14.749300820786086
1.0,31,197,14.732713453742537
0.85,25,197,14.71360178534997
0.74,19,197,14.677390507266683
0.56,13,197,14.631281198185828
0.38,7,197,14.550462547640763
0.15000000000000002,1,197,14.443869352384642
1.1,37,181,13.926279370044753
1.0,31,181,13.912335916984638
0.85,25,181,13.893517343767627
0.74,19,181,13.86641239701695
0.56,13,181,13.828632815832654
0.38,7,181,13.752790175606416
0.15000000000000002,1,181,13.669646768728354
